id,nombre_completo,especialidad
60,Carlos Perez Hernandez,Neurologia
61,Ana Martinez Perez,Neurologia
62,Sofia Sanchez Flores,Ortopedia
63,Lucia Flores Perez,Urologia
64,Luis Rodriguez Perez,Dermatologia
65,Maria Sanchez Garcia,Oftalmologia
66,Ana Garcia Hernandez,Neurologia
67,Sofia Flores Hernandez,Neurologia
68,Sofia Perez Rodriguez,Neurologia
69,Carlos Lopez Garcia,Ortopedia
70,Juan Martinez Perez,Cardiologia
71,Miguel Martinez Lopez,Oncologia
72,Sofia Hernandez Flores,Ortopedia
73,Juan Garcia Hernandez,Neurologia
74,Luis Lopez Hernandez,Oncologia
75,Pedro Perez Ramirez,Neurologia
76,Pedro Hernandez Garcia,Dermatologia
77,Luis Martinez Garcia,Dermatologia
78,Carlos Martinez Perez,Neurologia
79,Luis Sanchez Hernandez,Ortopedia
80,Laura Lopez Ramirez,Urologia
81,Carlos Martinez Martinez,Dermatologia
82,Pedro Hernandez Hernandez,Ginecologia
83,Carlos Perez Perez,Urologia
84,Carlos Hernandez Garcia,Urologia
85,Lucia Hernandez Ramirez,Oncologia
86,Pedro Perez Hernandez,Cardiologia
87,Luis Lopez Ramirez,Urologia
88,Sofia Hernandez Martinez,Oftalmologia
89,Lucia Martinez Lopez,Ginecologia
90,Carlos Ramirez Perez,Oftalmologia
91,Miguel Sanchez Lopez,Ortopedia
92,Laura Ramirez Sanchez,Oftalmologia
93,Sofia Gonzalez Flores,Psiquiatria
94,Lucia Garcia Hernandez,Neurologia
95,Ana Sanchez Hernandez,Psiquiatria
96,Ana Gonzalez Rodriguez,Psiquiatria
97,Lucia Lopez Perez,Oncologia
98,Miguel Martinez Lopez,Pediatria
99,Luis Sanchez Ramirez,Ortopedia
100,Ana Flores Garcia,Oftalmologia
101,Miguel Flores Perez,Psiquiatria
102,Sofia Sanchez Rodriguez,Psiquiatria
103,Laura Sanchez Perez,Oncologia
104,Carlos Garcia Lopez,Oftalmologia
105,Ana Gonzalez Martinez,Ortopedia
106,Maria Gonzalez Ramirez,Ginecologia
107,Miguel Martinez Gonzalez,Neurologia
108,Maria Martinez Martinez,Ortopedia
109,Juan Ramirez Hernandez,Ortopedia
110,Ana Perez Gonzalez,Oncologia
111,Luis Hernandez Flores,Dermatologia
112,Miguel Gonzalez Garcia,Oncologia
113,Luis Perez Rodriguez,Psiquiatria
114,Lucia Garcia Sanchez,Ginecologia
115,Pedro Rodriguez Hernandez,Neurologia
116,Ana Sanchez Hernandez,Ginecologia
117,Lucia Ramirez Sanchez,Oftalmologia
118,Laura Martinez Perez,Neurologia
119,Carlos Rodriguez Hernandez,Oftalmologia
120,Sofia Ramirez Garcia,Ortopedia
121,Pedro Flores Lopez,Oncologia
122,Juan Sanchez Perez,Ortopedia
123,Ana Rodriguez Rodriguez,Psiquiatria
124,Miguel Gonzalez Perez,Urologia
125,Juan Flores Garcia,Dermatologia
126,Pedro Perez Flores,Urologia
127,Lucia Flores Rodriguez,Psiquiatria
128,Ana Rodriguez Martinez,Ginecologia
129,Carlos Hernandez Sanchez,Pediatria
130,Laura Flores Sanchez,Oncologia
131,Maria Lopez Martinez,Ginecologia
132,Pedro Garcia Flores,Oftalmologia
133,Juan Lopez Hernandez,Pediatria
134,Carlos Gonzalez Hernandez,Neurologia
135,Luis Ramirez Martinez,Oftalmologia
136,Juan Perez Ramirez,Cardiologia
137,Pedro Perez Rodriguez,Psiquiatria
138,Pedro Martinez Lopez,Ginecologia
139,Carlos Sanchez Martinez,Psiquiatria
140,Ana Lopez Hernandez,Oncologia
141,Carlos Sanchez Lopez,Urologia
142,Lucia Gonzalez Flores,Neurologia
143,Miguel Sanchez Gonzalez,Neurologia
144,Juan Lopez Sanchez,Pediatria
145,Carlos Flores Hernandez,Ginecologia
146,Laura Flores Sanchez,Oftalmologia
147,Sofia Flores Garcia,Pediatria
148,Luis Sanchez Perez,Oncologia
149,Carlos Flores Lopez,Psiquiatria
150,Ana Lopez Flores,Psiquiatria
151,Sofia Rodriguez Lopez,Urologia
152,Maria Rodriguez Garcia,Neurologia
153,Pedro Gonzalez Ramirez,Oncologia
154,Maria Hernandez Sanchez,Psiquiatria
155,Miguel Martinez Perez,Pediatria
156,Maria Ramirez Perez,Psiquiatria
157,Sofia Lopez Gonzalez,Neurologia
158,Miguel Garcia Sanchez,Cardiologia
159,Maria Sanchez Rodriguez,Ortopedia
160,Carlos Hernandez Rodriguez,Cardiologia
161,Juan Gonzalez Martinez,Dermatologia
162,Laura Sanchez Sanchez,Oftalmologia
163,Maria Martinez Ramirez,Neurologia
164,Sofia Lopez Sanchez,Oncologia
165,Pedro Lopez Garcia,Urologia
166,Maria Lopez Gonzalez,Pediatria
167,Miguel Rodriguez Lopez,Pediatria
168,Juan Gonzalez Lopez,Oftalmologia
169,Laura Lopez Hernandez,Cardiologia
170,Miguel Hernandez Sanchez,Cardiologia
171,Miguel Martinez Rodriguez,Oncologia
172,Sofia Garcia Flores,Cardiologia
173,Juan Rodriguez Hernandez,Neurologia
174,Laura Hernandez Hernandez,Pediatria
175,Juan Rodriguez Garcia,Cardiologia
176,Laura Hernandez Martinez,Neurologia
177,Maria Lopez Lopez,Cardiologia
178,Carlos Ramirez Martinez,Ortopedia
179,Laura Ramirez Hernandez,Urologia
180,Ana Ramirez Rodriguez,Psiquiatria
181,Maria Hernandez Hernandez,Pediatria
182,Laura Perez Lopez,Cardiologia
183,Carlos Perez Garcia,Psiquiatria
184,Ana Sanchez Hernandez,Pediatria
185,Luis Flores Perez,Cardiologia
186,Maria Hernandez Rodriguez,Oncologia
187,Lucia Sanchez Martinez,Ginecologia
188,Lucia Lopez Gonzalez,Pediatria
189,Lucia Perez Rodriguez,Dermatologia
190,Laura Lopez Perez,Oftalmologia
191,Maria Perez Garcia,Urologia
192,Lucia Sanchez Rodriguez,Ginecologia
193,Ana Ramirez Flores,Cardiologia
194,Ana Garcia Flores,Pediatria
195,Luis Hernandez Rodriguez,Neurologia
196,Lucia Martinez Garcia,Dermatologia
197,Laura Sanchez Gonzalez,Neurologia
198,Pedro Rodriguez Hernandez,Cardiologia
199,Ana Flores Sanchez,Ortopedia
200,Pedro Gonzalez Perez,Cardiologia
201,Miguel Rodriguez Gonzalez,Cardiologia
202,Ana Perez Perez,Neurologia
203,Ana Ramirez Garcia,Neurologia
204,Ana Flores Rodriguez,Ginecologia
205,Laura Lopez Sanchez,Cardiologia
206,Maria Sanchez Martinez,Neurologia
207,Juan Lopez Hernandez,Dermatologia
208,Maria Lopez Flores,Ginecologia
209,Ana Hernandez Ramirez,Pediatria
210,Carlos Sanchez Gonzalez,Dermatologia
211,Ana Hernandez Rodriguez,Dermatologia
212,Lucia Hernandez Gonzalez,Oncologia
213,Lucia Sanchez Hernandez,Oncologia
214,Sofia Martinez Perez,Psiquiatria
215,Carlos Lopez Sanchez,Oftalmologia
216,Carlos Ramirez Flores,Psiquiatria
217,Pedro Sanchez Garcia,Psiquiatria
218,Carlos Martinez Gonzalez,Urologia
219,Miguel Lopez Ramirez,Dermatologia
220,Luis Rodriguez Sanchez,Oncologia
221,Sofia Gonzalez Rodriguez,Ginecologia
222,Lucia Sanchez Martinez,Ortopedia
223,Pedro Sanchez Hernandez,Dermatologia
224,Ana Garcia Garcia,Ginecologia
225,Laura Sanchez Rodriguez,Psiquiatria
226,Carlos Perez Rodriguez,Oftalmologia
227,Luis Flores Martinez,Psiquiatria
228,Juan Martinez Rodriguez,Urologia
229,Pedro Hernandez Rodriguez,Oncologia
230,Laura Ramirez Sanchez,Ortopedia
231,Juan Rodriguez Rodriguez,Neurologia
232,Ana Sanchez Garcia,Ortopedia
233,Juan Lopez Gonzalez,Urologia
234,Sofia Lopez Gonzalez,Neurologia
235,Lucia Flores Lopez,Cardiologia
236,Maria Martinez Rodriguez,Psiquiatria
237,Lucia Martinez Ramirez,Neurologia
238,Carlos Lopez Rodriguez,Oncologia
239,Luis Ramirez Ramirez,Psiquiatria
240,Lucia Gonzalez Rodriguez,Pediatria
241,Maria Flores Perez,Dermatologia
242,Luis Hernandez Rodriguez,Oncologia
243,Juan Lopez Sanchez,Cardiologia
244,Maria Martinez Rodriguez,Ginecologia
245,Carlos Gonzalez Rodriguez,Dermatologia
246,Pedro Perez Lopez,Dermatologia
247,Ana Sanchez Lopez,Ginecologia
248,Maria Sanchez Flores,Neurologia
249,Pedro Hernandez Garcia,Dermatologia
250,Ana Gonzalez Rodriguez,Oftalmologia
251,Lucia Martinez Lopez,Pediatria
252,Luis Martinez Rodriguez,Pediatria
253,Luis Martinez Perez,Cardiologia
254,Lucia Hernandez Sanchez,Oftalmologia
255,Maria Garcia Garcia,Oncologia
256,Juan Flores Garcia,Pediatria
257,Ana Ramirez Garcia,Psiquiatria
258,Lucia Ramirez Gonzalez,Oftalmologia
259,Sofia Perez Flores,Psiquiatria
260,Laura Perez Perez,Ortopedia
261,Ana Perez Rodriguez,Psiquiatria
262,Lucia Garcia Perez,Ortopedia
263,Maria Garcia Sanchez,Psiquiatria
264,Pedro Garcia Flores,Pediatria
265,Miguel Gonzalez Hernandez,Ortopedia
266,Sofia Flores Sanchez,Ginecologia
267,Carlos Hernandez Garcia,Ortopedia
268,Juan Perez Garcia,Ortopedia
269,Sofia Hernandez Flores,Oftalmologia
270,Carlos Flores Martinez,Ortopedia
271,Carlos Sanchez Martinez,Psiquiatria
272,Luis Flores Hernandez,Dermatologia
273,Miguel Flores Ramirez,Cardiologia
274,Pedro Sanchez Martinez,Oncologia
275,Miguel Sanchez Lopez,Oftalmologia
276,Maria Sanchez Ramirez,Neurologia
277,Ana Hernandez Lopez,Pediatria
278,Maria Rodriguez Garcia,Dermatologia
279,Laura Rodriguez Gonzalez,Neurologia
280,Luis Sanchez Martinez,Dermatologia
281,Miguel Sanchez Martinez,Ortopedia
282,Ana Flores Flores,Pediatria
283,Laura Rodriguez Rodriguez,Ginecologia
284,Carlos Hernandez Hernandez,Oncologia
285,Maria Gonzalez Martinez,Pediatria
286,Maria Perez Flores,Neurologia
287,Maria Flores Perez,Dermatologia
288,Laura Rodriguez Flores,Cardiologia
289,Luis Garcia Flores,Ginecologia
290,Ana Rodriguez Rodriguez,Ortopedia
291,Laura Lopez Ramirez,Urologia
292,Lucia Hernandez Martinez,Psiquiatria
293,Juan Ramirez Sanchez,Ortopedia
294,Pedro Gonzalez Hernandez,Oftalmologia
295,Sofia Lopez Flores,Oncologia
296,Pedro Garcia Flores,Ortopedia
297,Luis Ramirez Martinez,Oncologia
298,Lucia Sanchez Hernandez,Oftalmologia
299,Luis Rodriguez Garcia,Ortopedia
300,Pedro Hernandez Hernandez,Cardiologia
301,Pedro Sanchez Rodriguez,Oncologia
302,Pedro Garcia Ramirez,Psiquiatria
303,Laura Rodriguez Sanchez,Ortopedia
304,Carlos Rodriguez Martinez,Ginecologia
305,Luis Gonzalez Hernandez,Ginecologia
306,Carlos Martinez Lopez,Ortopedia
307,Lucia Garcia Gonzalez,Oftalmologia
308,Pedro Flores Lopez,Oftalmologia
309,Sofia Gonzalez Lopez,Neurologia
310,Ana Hernandez Garcia,Ortopedia
311,Lucia Martinez Lopez,Psiquiatria
312,Carlos Lopez Garcia,Pediatria
313,Laura Sanchez Lopez,Cardiologia
314,Maria Ramirez Perez,Urologia
315,Carlos Lopez Rodriguez,Neurologia
316,Juan Martinez Hernandez,Psiquiatria
317,Sofia Gonzalez Flores,Dermatologia
318,Carlos Martinez Sanchez,Psiquiatria
319,Luis Sanchez Perez,Cardiologia
320,Maria Martinez Martinez,Pediatria
321,Sofia Ramirez Hernandez,Cardiologia
322,Lucia Flores Flores,Oftalmologia
323,Luis Martinez Flores,Dermatologia
324,Carlos Sanchez Rodriguez,Oncologia
325,Lucia Lopez Martinez,Ortopedia
326,Maria Ramirez Lopez,Psiquiatria
327,Juan Rodriguez Ramirez,Ginecologia
328,Miguel Sanchez Martinez,Ginecologia
329,Lucia Ramirez Martinez,Neurologia
330,Maria Lopez Flores,Dermatologia
331,Juan Ramirez Sanchez,Ortopedia
332,Maria Garcia Lopez,Urologia
333,Ana Lopez Martinez,Ginecologia
334,Luis Garcia Martinez,Pediatria
335,Miguel Gonzalez Perez,Ginecologia
336,Pedro Rodriguez Garcia,Neurologia
337,Luis Garcia Ramirez,Oncologia
338,Miguel Sanchez Lopez,Urologia
339,Sofia Perez Ramirez,Ortopedia
340,Lucia Ramirez Ramirez,Neurologia
341,Maria Garcia Hernandez,Cardiologia
342,Ana Lopez Gonzalez,Neurologia
343,Pedro Flores Ramirez,Neurologia
344,Lucia Perez Gonzalez,Dermatologia
345,Lucia Rodriguez Martinez,Ginecologia
346,Luis Gonzalez Rodriguez,Dermatologia
347,Carlos Sanchez Martinez,Oncologia
348,Carlos Lopez Ramirez,Neurologia
349,Maria Gonzalez Hernandez,Ortopedia
350,Lucia Ramirez Flores,Dermatologia
351,Carlos Lopez Perez,Psiquiatria
352,Carlos Garcia Flores,Neurologia
353,Maria Gonzalez Martinez,Ginecologia
354,Maria Ramirez Rodriguez,Pediatria
355,Laura Martinez Perez,Ortopedia
356,Luis Lopez Hernandez,Oncologia
357,Juan Martinez Rodriguez,Neurologia
358,Carlos Martinez Martinez,Dermatologia
359,Miguel Gonzalez Flores,Oftalmologia
360,Maria Ramirez Perez,Urologia
361,Luis Ramirez Gonzalez,Urologia
362,Maria Garcia Lopez,Ortopedia
363,Carlos Lopez Perez,Ginecologia
364,Miguel Flores Rodriguez,Oftalmologia
365,Lucia Lopez Gonzalez,Cardiologia
366,Miguel Lopez Lopez,Dermatologia
367,Carlos Flores Gonzalez,Cardiologia
368,Laura Hernandez Flores,Psiquiatria
369,Sofia Lopez Sanchez,Ortopedia
370,Sofia Ramirez Gonzalez,Oncologia
371,Carlos Ramirez Hernandez,Oncologia
372,Maria Gonzalez Rodriguez,Ortopedia
373,Maria Martinez Martinez,Neurologia
374,Maria Lopez Flores,Cardiologia
375,Maria Gonzalez Ramirez,Oftalmologia
376,Juan Rodriguez Ramirez,Dermatologia
377,Sofia Sanchez Ramirez,Ginecologia
378,Maria Rodriguez Garcia,Urologia
379,Ana Garcia Rodriguez,Ginecologia
380,Laura Hernandez Ramirez,Urologia
381,Juan Flores Sanchez,Dermatologia
382,Miguel Hernandez Lopez,Pediatria
383,Laura Lopez Ramirez,Ortopedia
384,Juan Rodriguez Sanchez,Psiquiatria
385,Pedro Perez Martinez,Ortopedia
386,Ana Ramirez Martinez,Oncologia
387,Luis Sanchez Gonzalez,Oncologia
388,Ana Garcia Flores,Psiquiatria
389,Ana Gonzalez Ramirez,Cardiologia
390,Sofia Flores Sanchez,Cardiologia
391,Laura Garcia Flores,Oftalmologia
392,Laura Gonzalez Perez,Pediatria
393,Juan Perez Lopez,Psiquiatria
394,Laura Garcia Martinez,Psiquiatria
395,Sofia Hernandez Martinez,Ginecologia
396,Miguel Lopez Rodriguez,Pediatria
397,Sofia Garcia Lopez,Oncologia
398,Ana Sanchez Rodriguez,Ortopedia
399,Luis Perez Rodriguez,Dermatologia
400,Miguel Gonzalez Martinez,Oftalmologia
